Tranche 1 Interest Due,Tranche 1 Interest Paid,Tranche 1 Interest Shortfall, Tranche 1 Principal Paid,Tranche 1 Balance,Tranche 2 Interest Due,Tranche 2 Interest Paid,Tranche 2 Interest Shortfall, Tranche 2 Principal Paid,Tranche 2 Balance,Reserve Account
0,0,0,4714733.79704,3791578.49828,0,0,0,0,19848062.0224,0.0
75831.5699656,75831.5699656,0.0,3646499.12596,145079.372326,992403.101121,992403.101121,0.0,0,19848062.0224,0.0
2901.58744652,2901.58744652,0.0,145079.372326,0.0,992403.101121,992403.101121,0.0,3574349.73615,16273712.2863,0.0
0.0,0,0,0,0.0,813685.614314,813685.614314,0.0,3901048.18273,12372664.1035,0.0
0.0,0,0,0,0.0,618633.205177,618633.205177,0.0,4096100.59187,8276563.51168,0.0
0.0,0,0,0,0.0,413828.175584,413828.175584,0.0,4300905.62146,3975657.89022,0.0
0.0,0,0,0,0.0,198782.894511,198782.894511,0.0,3975657.89022,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
0.0,0,0,0,0.0,0.0,0,0,0,0.0,0
